# Generated from Radheef (radheef.siyamex.com) by scripts/build_definitions.py — do not edit by hand.
ހަ	(ނ) ހަދޯނި
ހަރާންކުރުން	ދީނުގައި ހުއްދަކަމެއް އަމިއްލައަށް ނުކުރާން ބުނުން
ހަރާންކޯރު	ތިމާގެ ވެރިއަކަށް ނުވަތަ ސާހިބަކަށްވާ ޚިޔާނާތް
ހަރާންކޯރުވުން	ތިމާގެ ވެރިޔަކަށް ސާހިބަކަށް ޚިޔާނާތްތެރިވުން
ހަރާންފަދަ	މިސާލު: ހަރާންފަދަ މިގޭގައި ކޮތަނބިރިކޮޅެއް
ހަރާންފަދަވާނެ	މިސާލު: ހަރާންފަދަވާނެ އަހަރެން އެގެއަށް ވަންނަނަމަ
ހަރާންފަދަތޯއްޗެއް	ނުދޭނެހެން ހީވާ އެއްޗެއް ދީފާނަމޭ ބުނިބަސް ގަދަކުރުވުމަށެވެ
ހަރާންދަރި	ނަހަލާލު ދަރި
ހަރާމުޖާދާ	(3) ނުބައި ނުލަފާމީހާ
ހަރާދު	(2) ކުޅޭކުޅިވަރާއި ކުރާޒުވާބުގައި ދެރަވާމީހާ މޮޅުވާމީހާއަށް އެއްޗެއްދޭން ކުރާ ޝަރުޠު
ހަރާދުކިއުން	(3) ޖުވާކުޅުން
ހަރި	(2) ދެފަރާތަކުން ދެކޮޅަށް ދައްކާ ވާހަކަ
ހަރިންމަ	(3) މަނާވެގެންވާ ދާއިރާ
ހަރިބޮލާ	) ދުޅަހަރު
ހަރިވާދަ	) ހަށަވާދަ
ހަރިވާދަޖެހުން	) ހަށަވާދަކުރުން
ހަރިސަ	ގޮދަނާ އެއްކޮށްގެން ކައްކާލޮނުކާއެއްޗެއް
ހަރިޖެހުން	) ދެމީހަކު ކަމަކާމެދު ދެކޮޅަށް ދަލީލު ދެއްކުމާއެކު އެމީހެއްގެބަސް ގަދަ ކުރުމުގެ ގޮތުން ވާހަކަ ދެއްކުން
ހަރީރާ	(2) އަންހެނުންނަށް ކިޔާނަމެއް
ހަރު	(61) (ބދ
ހަރުހަށްފަތި	) އެތެރޭން ދޫ ދުޅަވުމުގެ ސަބަބުން އެއްޗެހި ނުކެވޭ ބަލި
ހަރުހަނަ	ހިނިހަރުން ބޭރުކުރާ ފަސް
ހަރުންދެމި	) އިޑިއައްޕަން ދަމާ ހަރުން ދަމައިގެން ތެލުލައި ހަކުރުލައިފައި ހުންނަ ހެދިކާ އެއްޗެއް
ހަރުބަސް	އަދަބީބަސްތަކުގެ ތެރެއިން އަމުރަކަށްވާ ނުވަތަ ނަހީއަކަށްވާ ނުވަތަ ނަސޭހަތެއް ކަމުގައިވާ ކޮންމެ ބަހެއް
ހަރުބިހި	މިބިހި ބޮޑުނުވެފަސޭހަނުވެ އެތައް ދުވަހަކު ހުރެއެވެ
ހަރުބީ	(3) މުސްލިމުންނާ ޢަދާވާތްތެރި
ހަރުބީކާފަރުން	(2) މުސްލިމުންނާ ހަނގުރާމަކުރާ ކާފަރުން
ހަރުބީއަށް ހިނގުން	މިއީ އިހުގައި ގަނޑުވަރުތެރޭ ފިރިހެން ބޭފުޅުން ދަސްފުޅު ކުރައްވާ ކަމެކެވެ
ހަރުބީމަތީލަވަ	ހުކުރުދުވަހާއި ޢީދުދުވަހު ބަންގި ބެރުގެ ލަވަމައްޗަށް ޖަހާ ލަވަ
ހަރުބޭސް	(3) ހިލިބޭސް
ހަރުބޮނޑިބަތް	(2) ތަތްބޮނޑިބަތް
ހަރުކަށި	(7) ރަޙުމުކުޑަ
ހަރުކަށިކަން	މިސާލު: އޭނާގެ ހަރުކަށިކަން ވަރަށް ބޮޑެވެ
ހަރުކަށިވުން	މިސާލު: ގެންގުޅޭ މީހުނާ މެދުގައި އޭނާ ވަރަށް ހަރުކަށިވާނެއެވެ
ހަރުކަން	(3) ދުވުމުގެ ހަލުއިކަން
ހަރުކުރުން	(9) ދުވުން ބާރުކުރުން
ހަރުކުލައިގެ މީހުން	(3) ބުއްދިވެރިން
ހަރުކޮށް	(3) ބާރަށް
ހަރުއަޑު	(2) ގަދައަޑު
ހަރުވަރު	(2) ހަރުވަމުން އަންނަ
ހަރުވަޅި	) ހަރުވާޅު
ހަރުވާޅު	މިހުންނަނީ އަންނަ ފަށް ލައިފައި ދެފައިކުރި ވަކިން ފަހައިފައެވެ
ހަރުވާޅު ދާގަނޑު	ހަރުވާޅު އުނަގަނޑުމަތީ އައްސާން އަންނަފަށު ތެރެއަށް ލައްވައިފައިވާ ފަށް
ހަރުވުން	(01) މަޖާޒު: އުމުރަށްވުރެ ދޮށިވުން
ހަރުމަނިޔާ	އަތުންވައި ވައްދައިގެން ރާގުޖަހާން ގެންގުޅޭ މިއުޒިކުގެ އާލާތެއް
ހަރުމަތީބަޑި	މިބަޑި ގެންގުޅޭނީ ހަރުމަތީގައެވެ
ހަރުމަލް	މީގެ ތަފާތު ކުލަތައް ހުރެއެވެ
ހަރުމީހުން	(5) ދުވަސްވީމީހުން
ހަރުމުދާ	(2) ގިނަދުވަސް ވަންދެން ހަލާކުނުވެ ހުންނަ މުދާ
ހަރުފަ	މީގެ ވަރަށް ބޮޑެތި އެއްޗެހިވެސް އުޅެއެވެ
ހަރުފަވިހަ	(2) ހަރުފަވިހަލުމުގެ ސަބަބުން ވާވިހަ
ހަރުފަމުތް	(2) މޮހޮރާ
ހަރުފަދުލި	(މަލިކު) ހަލުވިދާ
ހަރުފަތަށް އެރުން	އިހުގައި މިކަންކޮށް އުޅެނީ އުޖޫރައެއްނެތިއެވެ
ހަރުފަތުކޭން	(2) ހަރުފަތަށްއެރިކޭން
ހަރުފަތް	(4) މަޖާޒު: ކަމެއްގެ މަރުޙަލާތައް
ހަރުފަސް	ވެލިގަނޑުހަރު
ހަރުފުށް	(ޅ) ހުންޏާ ހަކުރާއި ފުށާ އަޅައިގެން ހިލައިފައި ހުންނަ ކާއެއްޗެއް
ހަރުދަނޑި	މިސާލު: މަރުވެ ހަރުދަނޑިވެއްޖެއޭ ބުނަނީ މަރުވިތާ ގިނައިރުވެ ހަރުކަށިވީމައެވެ
ހަރުދަނޑިވުން	(2) ގަދަޔަށް ނިދުން
ހަރުދަނާ	(2) އުޅުމުގެ ޤަވާއިދުތައް ރަނގަޅު
ހަރުދަނާކަން	(2) އުޅުމުގެ ޤަވާޢިދުތައް ރަނގަޅުކަން
ހަރުދަނާވުން	(2) އުޅުމުގެ ޤަވާޢިދުތައް ރަނގަޅުވުން
ހަރުދު	) ބިލެތްހަވާދު
ހަރުތޮޅި	ފަނޑިޔާރުތޮޅި
ހަރުލައިހުރުން	(ށ) ވަސްނުފިލައި ހުރުން
ހަރުލުން	(4) ހިފެހެއްޓިފައިހުރުން
ހަރުގަނޑު	(4) އިޑިއައްޕަން ދަމާއޮބި
ހަރުގެ	(2) މީހުން އާދަކޮށް ނުއުޅޭ އެކިއެކި ޢާންމު ބޭނުމަށްޓަކައި ޚިޔާކޮށްފައި ހުންނަގެ
ހަރުޖި	(މަލިކު) ކަމަކަށްއެދި ފޮނުވާ ސިޓީ
ހަރެވާޅަ	) ހަރުވާޅު
ހަރޮ	) ހަރު
ހަރޮށި	(3) އިންސާނިއްޔަތުގެ ފުރިހަމަބާރު
ހަރޮނގުހިކާ	ކަޅުކުލައިގެ ލަފެއްނިގޫފަތުގެ ބަނޑުދަށުގެ މަތީބައިގައި ހުރެއެވެ
ހަރޮވާޅަ	) ހަރުވާޅު
ހަރޮމަލި	އެއީ ވަރީގެ ތަފާތެވެ
ހަރޯށި	ތަންތަނަށް އަރާން ގެންގުޅޭ ހަރުގަނޑު
ހަރޯދަ	ވަޅުއީދު ދުވަހުން ފެށިގެންނެވެ
ހަބަ	ފުރޭވަރަށް އަނގަޔަށްއަޅާ ދުފާތަކެތި
ހަބަރު	ކަޅުކުލައިގެ ހިކިއެއްޗެއް
ހަބަރުބޭ	މީނާއަކީ މަތިންބައިން އަންހެނުންނާ ހިތާވެގެން އެކަނބަލުންނާ އަޅައިގަނެ ފާރަލާ އުޅުނު މީހެކެވެ
ހަބަރުބޭހެދުން	މަތިންބައިން އަންހެނުންނާ ހިތާވެގެން އަޅައިގަނެގެން ފާރަލައި އުޅުން
ހަބަރުފަނި	) ބިމުތެރޭގައި އުޅޭ ހަބަރުވަސްދުވާ ފަންޏެއް
ހަބަރުގަސް	މިއަޅައިގެން ގިރާފަންޏަކީ ފިނި މީރު އެއްޗެކެވެ
ހަބައެޅުން	އަނގަޔަށް ފުރޭންދެން ދުފާއެއްޗެހި އެޅުން
ހަބަދަ	) އަންހެން
ހަބަސްރައިވަރު	ހަބަހުން އެކުލެވިގެންވާ ރައިވަރު
ހަބުރު	) ކުޑަކަޅުވާމަސް
ހަބުސީން	ބަބުރުން
ހަބޭސް	ވާވަލަށް ދަމާން ލާބާރު
ހަބޭސްކުރުން	(2) ވާވަލަށް ދަމައި ވާންކުރުން
ހަޅަ	(4) ސަކަ
ހަޅަނގު	އޮޑިދޯނި ފަދަތަކެތި ކޮޅާން ގެންގުޅޭ ކިފުޅިރޯނު
ހަޅަންގަޅިއްވުން	ދޯނިފަހަރުން ދިޔަވާން ފެށީމައިވެސް މިހެންބުނެއެވެ
ހަޅަޖެހުން	(2) އިރުމަތިން ގަދަވައިޖެހުން
ހަޅި	) ފޭލި
ހަޅިބައިނާ	) ހަޅިބައިން
ހަޅިބައިން	ނުވަތަ ނަނުގަނޑު
ހަޅިބޭވުން	) ދެކޮޅުވެރި ގޮތުން ނުވަތަ ސަމާސާގެ ގޮތުން އަނެކަކާ ދިމާކުރުން
ހަޅިއަފޮނާ	) މުރަކަމަސް
ހަޅިމަހި	ކުދި ކޮށާވަޅި
ހަޅުތާލު	މަސައްކަތްކުރާ ބަޔަކު ޝަކުވާއެއް ކުރުމުގެ ގޮތުން ނުވަތަ ކަމަކާ ދެކޮޅު ހެދުމުގެ ގޮތުން މަސައްކަތް ހުއްޓާލާ ހުއްޓާލުން
ހަޅުތާލުކުރުން	މަސައްކަތްކޮށްއުޅޭ ބަޔަކު ޝަކުވާއެއް ކުރުމުގެ ގޮތުން ނުވަތަ ކަމަކާ ދެކޮޅު ހެދުމުގެ ގޮތުން މަސައްކަތް ހުއްޓައިލުން
ހަޅޭއް	މީހުންގެ އަޑުފަށް
ހަޅޭއްފަޅޭއްޖަހައިގަތުން	ކުއްލިޔަކަށް މާބާރާށް ހަޅޭއްލަވައިގަތުން
ހަޅޭފަށް	ކިޔާނުކިޔާ އެއްޗެއް ނޭނގި އިވޭ ގަދައަޑުތައް
ހަޅޭފަޅޭ	(2) މީހަކުނެރޭ ގަދައަޑު
ހަޅޭފަޅޭލުން	ގޮތެއް ފޮތެއްނެތި އަޑުގަދަ ކުރުން
ހަޅޭލައިގަތުން	ކުއްލިއަކަށް މާބޮޑަށް އަޑުގަދަ ކޮށްގަތުން
ހަޅޭލުން	މީހަކު ނުވަތަ ބަޔަކު އަޑުގަދަ ކުރުން
ހަޅޭލެވުން	އަޑުގަދަކުރުން
ހަޅޭޖެހުން	ހަޅޭއްލައި އަޑުގަދަކުރުން
ހަކަ	ތަންކޮޅެއް
ހަކަވެޅާ	މަސްތައް ކޮށާ ހަދައެވެ
ހަކަފަތާ	) ބޮޑެތި ގާހައް
ހަކަތަ	(ށ) ތެލުން އިންޖީނު ހިންގާ ހިންގުން
ހަކަތަދޫވުން	(2) ބާރުދޫވުން
ހަކަތަޖެހުން	(2) ހަށިގަނޑުގައި ބާރުޖެހުން
ހަކާ	) ކުދިންބޮޑުވެ ވާ ފުރިހަމަ
ހަކާ	(2) ލޯބި
ހަކާވުން	ކުދީންބޮޑެތިވެ ފުރިހަމަވުން
ހަކި	) އެނދު އުނދޯލިފަދަ ތަކެތީގެ ފަޑީގައި ލިޔެފައި ޖަހާ ތޭރި
ހަކިބަ	ތިރިއެވެ
ހަކިބަނުން	) ބިލެތްއަރުވައިފައި ހުންނަ ރުކުގައި ވައުލައްވަން ބަންނަ ކަފިގަނޑު ބަނުން
ހަކިގޮޅާ	އަނގަމަތި ހުންނަނީ ހުދުކުލައިގައެވެ
ހަކުންފަލި	(2) ބަނޑުފައްޔާއި ޖެހިގެން ކުރިޔަށް އޮންނަ ފަލި
ހަކުރަވެތި	ހަކުރާކަން
ހަކުރާ	ހަކުރާކަން މިބަހުގެ ނަންއިތުރު
ހަކުރާވަރު	ހަކުރާ ބޭކަލަކާ ޙަވާލުވެފައިވާ ވަރު ނުވަތަ ބައި
ހަކުރު	) ބާވަތެއްގެ މޫދުމަހެއް
ހަކުރު ހަލާނފަތް	މިއަށް ކުދީންކުޅޭ ކަރަންފޫ މިހެންވެސް ކިޔައެވެ
ހަކުރު ފުއްޕުން	ދިވެހިހަކުރު ކައްކައި ތަތްކުރުން
ހަކުރު ދަތުރު	މިދަތުރުގައި ހަކުރު ހިފައިގެން ވިކޭތަނަކާ ޖެހޭންދެން ގޮސްއުޅެއެވެ
ހަކުރުހިލުން	ރާ ފޮނި ހަކުރައް ވަންދެން ކައްކައި އޮލަކުރުން
ހަކުރުހެދުން	) ދިވެހިހަކުރު ހިލުން
ހަކުރުހޭނުން	) ހަކުރު ހިލުން
ހަކުރުބަލި	ހަށިގަނޑަށްބޭނުންވާ ގުލްކޯޒް ބޭނުންކުރާ ނިޒާމަށް ގެއްލުން ވެގެންޖެހޭ ބައްޔެއް
ހަކުރުބޮލި	ބުރަކަށިމަތީގައި މުށިކުލައާއި ގާތް ދޮންކުލައެއް ހުރެއެވެ
ހަކުރުބޮޑުއައްޕަން	(މަލިކު) ފޮނިބޯކިބާ
ހަކުރުފަނި	) ރާފޮނި
ހަކުރުފޮނި	ދިވެހިރުކުގެ ރާކުޑަކޮށްކައްކާލައިފައި މުޅިން ހަކުރަށް ނަހަދާ ހުންނައިރު ކިޔާ ނަން
ހަކުރުލުން	މ
ހަކުބައިން	ހަކަށް ލައްވާބައިން
ހަކުމަޅިގަނޑު	ނ
ހަކެރެ	) ހަކުރު
ހަކެތޯޓު	) ގާހަކައިގެތޮށި
ހަކޭ	) ހެއި
ހަކޭނެތި	) ހޭނެތް
ހަކޮށި	(2) މޫދުގައި މަސްލައިގެން ދުވާ ރިނދަލިޒާތުގެ ބޮޑުއެއްޗެއް
ހަކޮޑި	) ބޮޑެތި ރިނދަ
ހައި	މިސާލު: ނެތްހައި އެއްޗެއް ހޯދަން އުޅެއެވެ
ހައިހޫނު	(2) ކާބޯތަކެތި ނުލިބިގެން ޖެހޭ ޙާލު
ހައިހޫނުކަން	ކާބޯތަކެތި ނުލިބިގެން ލިބޭ ބަނޑުހައިކަން
ހައިހޫނުވުން	ކާބޯތަކެތި ނުލިބިގެން ބަނޑުހައިވުން
ހައިނގިލިހައް	) ރާކަނި
ހައިނގިލިބޮލި	) ރާކަނި ފާޑުގެ ބޮއްޔެއް
ހައިނުކުރުން	(4) މެދުކެނޑުމެއްނެތުން
ހައިނުކޮށް	(4) މެދުކެނޑުމެއްނެތި
ހައިރަ	) ކަނޑު
ހައިރު	) ވެލި
ހައިބަ	(ށ) ހައިބަ ބޮޑު ނިކަބިލިއްސަ ގަހެއް
ހައިބަނޑާ	ހުސްބަނދާ
ހައިބަނޑާ ހުރުން	ހެނދުނު ތެދުވިގޮތަށް އެއްޗެއް ނުކައި ހުސްބަނޑާ ހުރުން
ހައިބަނޑު	ހެނދުނު އެއްޗެއް ކެއުމުގެ ކުރީގައި ހުންނަ ހުސްބަނޑު
ހައިބަރަ	) ހައިބަރު
ހައިބަރު	ބަނދަރު
ހައިބަބޮޑު	ބިޔަ
ހައިބަކަން	ބިޔަކަން
ހައިބަވަންތަ	(1) އެންމެ ފުރިހަމަ ހައިބަތުހުރި
ހައިބަވަންތަކަން	(ނ) އެޖަލްސާގެ ހައިބަވަންތަކަން ބޮޑުކަމުން އަޅުގަނޑަށް އެއްޗެއް ނުބުނެވުނީއެވެ
ހައިބަތު	މީހެއްގައި ހުންނަ މީހުން ޖެހިލުންވާ ތޫނުފިލި ސިފަ
ހައިބަތުހުރުން	މީސްތަކުން ޖެހިލުންވާ ތޫނުފިލި ސިފަހުރުން
ހައިކަ	އަތުރާ ކުރަހާފައިވާ ކޮޅު މޮށްކޮށް އޮންނަ ތަވީދުލާ ބަޑިއެއް
ހައިކަފުޅު	ފައިދާއާއި ޘަވާބަށްޓަކައި ކިޔަވާން ގެންގުޅޭ ހަތްދުޢާއެއް
ހައިކުރުން	(2) މަދުކުރުން
ހައިކެޑުން	(2) ކުރާކަންތައް ތަންކޮޅެއް މަޑުކޮށްލުން
ހައިވަކަރު	މިގަހުގެ ލަކުޑިއަކީ މަޝްހޫރު މޮޅުލަކުޑިއެކެވެ
ހައިވާނީ	ޖަނަވާރުގެ ގޮތްހުރި
ހައިވާނު	ޖަނަވާރު
ހައިވާކަމެއްނެތުން	އުނިވާކަމެއްނެތުން
ހައިވުން	(4) ބަނޑުހައިގަތުން
ހައިދާލިވަސް	) މީހުންގައިން ދުވާނުބައި ވަސް
ހައިދު	(2) ހަލާކު ކުރާހަލާކު ކުރުން
ހައިތަ	ހަވިއްތަ
ހައިތަރު	) ކަޅުވެލި
ހައިގަނޑު	ވިޔާތަކެތި ވިޔެ އަވަދިވެގެން ކޮޅުން ކަނޑާލާ އުއިގަނޑު
ހައިސިއްޔަތު	މިސާލު: ވެރިއެއްގެ ހައިސިއްޔަތުން
ހައިޑައިނި	ގޮތެއް ނެތްމީހާ
ހައިޑުރިޖަން	ގޭހުގެ އެހެނިހެން ބާވަތްތަކަށްވުރެ ލުއި އެއްޗެކެވެ
ހައިޑުރޯއިލެކްޓްރިކު	(2) ފެނުގެ ބާރުން ޑައިނަމޯ އަނބުރައިދީގެން އުފައްދާ ކަރަންޓު
ހައިޑުރޯމީޓަރު	މިކަންކުރަނީ ފެނުގައި ލޮނުގެ އަސަރު ހުންނަ މިންވަރު ބެލުމަށެވެ
ހައިޑުރޯފޯބިޔާ	އެންމެ އާންމުކޮށް މިބަލިޖެހެނީ ކުއްތާ ދަތްއެޅުމުންނެވެ
ހައިޑުރޯގުރަފީ	(3) ކަނޑުތަކާއި ކޯރުތަކުގެ ފެންގަނޑަށް އަންނަ ބަދަލުތައް ބެލުމަށް ކުރާ ތަހުލީލު
ހައިޖާނު	(2) ބައެއްގެ މެދުގައި އުފެދޭ އަރާރުމާއި ހަމަނުޖެހުން
ހައު	) ކުނާވިޔާ ހައި
ހައުރަގެހުން	) އޮރިއާންވުން
ހާނިދިގޮވުން	ނިދީގައި ވާހަކަ ދެއްކުން
ހާނީއްކަ	(2) އަނިޔާ
ހާނީއްކަކުރުން	ތަޅައި އަނިޔާކުރުން
ހާނީއްކަވުން	(2) އަނިޔާވުން
ހާންތި	(2) މަސައްކަތް ނުކުރެވޭވަރަށް ވާ ބަނޑުހައި
ހާންތިކަން	(2) މަސައްކަތް ނުކުރެވޭވަރަށްވާ ބަނޑުހައިކަން
ހާންތިވުން	(2) މަސައްކަތް ނުކުރެވޭ ވަރަށް ބަނޑުހައިވުން
ހާރަން	(2) އެއެއްޗެއް ހެދި ކަމަކަށް ބޭނުންނުހިފޭ ގޮތް ވެފައި ހުންނަ ރަން
ހާރިހި	(2) އެއްޗެއް ހަދާނިމޭއިރު އިތުރުވެފައި ހުންނަ ރިހީގެ ކުދި އެތިއެތިކޮޅު
ހާރު	(2) އަންހެނުންގެ ކަރުގައި އަޅާ ގަހަނާއެއް
ހާރުވާ ކެޔޮގަނޑުގައި ފަލައަރި ޖަހާނެ	(މުސްކުޅިބަހެއް) ކުޑަކުދިން ދެރަކޮށްލުމަށް ބުނާ އެއްޗަކުން އެކުދިން ރަނގަޅު ކުދިންނަށް ބަދަލުވެއޭ ބުނުމަށް ބުނެއުޅޭ ބަހެއް
ހާރުދަން	(2) ހާރުކާވަގުތު
ހާބޮނގަ	ކުރަން އުޅޭ ކަމަކަށް ފައިދާއެއް ނުވާގޮތުން ހިނގާ ބިނގާ ވުމާއެކު ލަވާ ހަޅޭއްފަޅޭއް
ހާބޮނގަލެވުން	ކުރަންއުޅޭކަމަކަށް ފައިދާއެއް ނުވާގޮތުން އަވަސް އަވަހަށް ކޮޅުކޮޅަށް ހިނގުމާއި ހަޅޭއްފަޅޭއްލުން
ހާޅަ	) ހާޑު
ހާޅަހަންކޭ	) ހާޅަގޮއްޑޯ ބަލާ
ހާޅަކައްޕި	) ހާޑުހަކި
ހާޅައްބަ	) ލޯވަޅެއްގެ މަތި ހުރިވަރަށް ހުރެފައި އެތެރެއިން ބޮޑުވާ ބޮޑުވުން
ހާޅަލަ	މިގަހުގެ ފަތް ބޭހަށް ބޭނުންކުރެއެވެ
ހާޅަގޮއްޑޯ	) ހާޑުލާ ކައްޕި
ހާޅާއިލޯނޓި	) ތަތުނުގައި ލައިފައި ހުންނަ އިލޮށި
ހާޅާގޮއްޑޯ	) ހާޑުހައް
ހާޅު	) ހާޑު
ހާޅެހަންކާ	) ހާޑުވައް
ހާޅެޔާ	) ހާޑު
ހާކަނޑުގައި ލަބަރިތެޅުން	(2) މަޖާޒު: ކަމެއްކުރާނެ ގޮތެއް ފެނިނެތީސް އެކަމެއް ކުރާން އުޅުން
ހާކައިލުން	(2) ދިޔާއެއްޗެއް ހިކިއެއްޗެއްގައި އުނގުޅައިލުން
ހާކާވުން	(2) ތަސައްރަފުފުދުން
ހާކާލާފަތް	މީގެ ދުންފަތް އަޅާގޮތަކީ ދަގަނޑު ފޮތީގައި އެތިކޮޅެއް އުނގުޅައިލަނީއެވެ
ހާކާލިބުރުވާލި	(2) އެންމެ ދަށުދަރަޖައިގެ
ހާކިސް	(2) ކައްކައިގެން ކާތަކެތި ހުންނާންވީގޮތަށް އެކުވެފައިނުވާ
ހާކުރުން	(3) ފޭކުރުން
ހާކެރުން	) ހުޅުވުން
ހާއެޅުން	(1) އެއްޗެއްގައި ހުރި ދޯހަޅިކަމަކުން ނުވަތަ ބާކޮޅަކުން އަނެއް ފަރާތް ފެނުން (2) އެއްފަރާތުން އަނެއްފަރާތް ފެނުން
ހާއެޑުން	) ހާއެޅުން
ހާއްދަފާއްދަ	) އާޖުފާޖު
ހާއްޔޯ	ހިތާނުވުމުގެ ގޮތުން އިންސާނުންނާ ދިމާއަށްވެސް މިބަސް ބުނެއުޅެއެވެ
ހާވަށް	) ގިންނޯށި
ހާވިލާ	(2) ވިއްސާރައިގެ ކުދިކުދިވިލާކޮޅު
ހާވިޔާ	(3) ވަކިވަކިވަމުންދާ
ހާވިޔާވުން	(2) ވަކިވަކިވެގެންދިއުން
ހާވުން	(4) ހުޅުވުން
ހާމަ	(4) ހާސާ
ހާމަކުރުން	(3) ފާޅުކުރުން
ހާމަވުން	(3) ފާޅުވުން
ހާމަސް	މަހުގެ އެތިއެތިކޮޅު
ހާމުންޑި	ފިޔޮއް ކުކުޅެއްގެ ސިފައިގައިވާކަމަށް ހީކުރާ ފުރޭތައެއް
ހާމުދުރު	ބުދުދީނުގެ ޢިލްމުވެރިޔާ
ހާފާ	) ހިތްބަރު
